State Code,County Code,Site Number,Latitude,Longitude,Site Established Date,Site Closed Date,Address,Zip Code,State Name,County Name,City Name
1,33,10,34.780676,-87.636126,1/1/73,12/31/74,0.6 MI ENE OF OACD,35661,Alabama,Colbert,Not in a City
1,33,11,34.782342,-87.625015,1/1/73,12/31/76,1.2 MI ENE OF OACD,35661,Alabama,Colbert,Not in a City
1,33,12,34.78012,-87.632515,1/1/73,12/31/76,0.77 MI ENE OF OACD,35661,Alabama,Colbert,Muscle Shoals
1,33,26,34.740646,-87.880312,1/1/74,12/31/97,2.4 MI W OF COLBERT STEAM PLANT,,Alabama,Colbert,Not in a city
1,33,27,34.720368,-87.819755,1/1/74,12/31/97,2.3 MI SE OF COLBERT STEAM PLANT,,Alabama,Colbert,Not in a city
1,33,28,34.6604,-87.776964,1/1/74,12/31/76,0.2 MI WSW OF OACD,35674,Alabama,Colbert,Not in a City
1,33,31,34.786508,-87.643626,1/1/74,12/31/76,0.6 MI N OF OACD,35661,Alabama,Colbert,Not in a City
1,33,32,34.779564,-87.637793,1/1/74,12/31/76,0.5 MI ENE OF OACD,35661,Alabama,Colbert,Not in a City
1,33,33,34.761756,-87.639195,1/1/74,12/31/97,1.1 MI SSE OF OACD,,Alabama,Colbert,Not in a city
1,33,34,34.762311,-87.662251,1/1/74,12/31/97,1.4 MI SW OF OACD,,Alabama,Colbert,Not in a city
1,33,35,34.772033,-87.901423,1/1/76,12/31/97,TVA 3.5 MI WNW OF COLBERT STEAM PLANT,,Alabama,Colbert,Not in a city
1,33,36,34.716757,-87.881701,1/15/75,6/26/88,TVA COLBERT 9    2.6 MI SW COLBERT FOSSI,,Alabama,Colbert,Not in a city
1,33,37,34.689813,-87.849756,1/1/76,12/31/97,3.7 MI S OF COLBERT STEAM PLANT,,Alabama,Colbert,Not in a city
1,33,38,34.737342,-87.838077,1/1/76,12/31/78,0.8 MILE S E OF COLBERT STEAM PLANT,35674,Alabama,Colbert,Not in a City
1,33,39,34.740923,-87.879756,1/1/78,12/31/97,1.76 MILES W OF COLBERT STEAM PLANT,,Alabama,Colbert,Not in a city
1,33,40,34.735368,-87.875312,1/1/79,12/31/97,"FM PLANT ACCESS RD,GO WEST ON 72, 1.1 MI",,Alabama,Colbert,Not in a city
1,33,41,34.7637,-87.652807,1/1/83,,0.98 MI. SSW OF NFDC CHIMNEY,,Alabama,Colbert,Not in a city
1,33,42,34.762033,-87.662251,1/1/83,,1.4 MI. SW OF NFDC CHIMNEY,,Alabama,Colbert,Not in a city
1,33,43,34.73259,-87.857534,9/27/83,,TVA COLBERT 13   0.9 MI SW COLBERT FP,,Alabama,Colbert,Not in a city
1,33,44,34.690647,-87.821422,9/26/83,,TVA COLBERT 14___3.98 MI SE COLBERT FP,,Alabama,Colbert,Not in a City
1,33,45,34.737342,-87.838077,11/11/75,12/31/75,PO BOX 2000 TUSCUMBIA AL 35674,35674,Alabama,Colbert,Not in a City
1,33,1001,34.761676,-87.638685,1/1/73,12/31/77,WILSON DAM ROAD,35661,Alabama,Colbert,Not in a City
1,33,1002,34.762619,-87.638097,1/1/77,,WILSON DAM RD AND 2ND ST.,35661,Alabama,Colbert,Muscle Shoals
1,33,1003,34.7589,-88.0138,5/6/09,,Natchez Trace Parkway,35616,Alabama,Colbert,Not in a City
1,33,2001,34.751509,-87.681684,1/1/74,12/31/76,2. MI WSW OF OACD,35660,Alabama,Colbert,Sheffield
1,35,1,31.477664,-86.963307,1/1/72,12/31/98,COUNTY HEALTH DEPT,,Alabama,Conecuh,Evergreen
1,39,1,31.305727,-86.488569,1/1/72,12/31/94,300 WEST WATSON ST.,,Alabama,Covington,Andalusia
1,43,1,34.180758,-86.841452,1/1/72,12/31/76,305 N 4TH AVE E,35055,Alabama,Cullman,Cullman
1,43,2,34.179266,-86.843612,1/1/76,12/31/89,204 2ND AVE NE,,Alabama,Cullman,Cullman
1,43,3,34.194821,-86.856391,1/1/83,12/31/88,"CULLMAN FAIRGROUNDS, CULLMAN COUNTY",,Alabama,Cullman,Cullman
1,47,1,32.102367,-87.31416,1/1/72,12/31/74,METHODIST CHILDREN'S HOME,,Alabama,Dallas,Selma
1,47,2,32.408193,-87.017768,1/1/74,12/31/98,ALABAMA AVE AT FRANKLIN STREET.,,Alabama,Dallas,Selma
1,49,1,34.456508,-85.671628,1/1/97,,29.9 MI S OF WIDOWS CREEK POWER PLANT,35967,Alabama,DeKalb,Fort Payne
1,49,2,34.419016,-85.714401,1/1/73,12/31/77,32.17 MI S OF WIDOWS CREEK POWER PLANT,35967,Alabama,DeKalb,Fort Payne
1,49,3,34.466237,-85.641065,1/1/73,12/31/77,29.5 MI SSE OF WIDOWS CREEK POWER PLANT,35967,Alabama,DeKalb,Fort Payne
1,49,4,34.444849,-85.685789,1/1/73,12/31/77,31.0 MI S OF WIDOWS CREEK POWER PLANT,35967,Alabama,DeKalb,Fort Payne
1,49,5,34.495116,-85.865264,1/1/97,,27.5 MILES SSW OF WIDOWS CREEK STEAM PPL,35986,Alabama,DeKalb,Rainsville
1,49,6,34.525372,-85.899937,1/1/97,,25.9 MILES SSW OF WIDOWS CREEK STEAM PPL,35971,Alabama,DeKalb,Powell
1,49,7,34.495126,-85.865239,1/1/73,12/31/77,27.5 MI SSW OF WIDOWS CREEK STEAM PLANT,35986,Alabama,DeKalb,Rainsville
1,49,8,34.525125,-85.899962,1/1/73,12/31/77,25.9 MI SSW OF WIDOWS CREEK STEAM PLANT,35971,Alabama,DeKalb,Powell
1,49,9,34.291783,-85.958621,1/1/97,,42.7 MILE S.S W OF WIDOWS CREEK STEAM,35962,Alabama,DeKalb,Not in a City
1,49,1001,34.438067,-85.726677,1/1/72,12/31/77,500 GRAND AVE,35967,Alabama,DeKalb,Fort Payne
1,49,1002,34.456199,-85.707189,1/1/77,3/27/02,1500 WILLIAMS AVE. N.E.,,Alabama,DeKalb,Fort Payne
1,49,1003,34.288567,-85.969858,12/1/98,,"13112 HWY.68 , CROSSVILLE AL. 35962",35962,Alabama,DeKalb,Crossville
1,49,9991,34.289001,-85.970065,11/17/88,,"Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962",35962,Alabama,DeKalb,Crossville
1,51,1,32.498567,-86.136587,3/1/90,6/27/16,"DEWBERRY TRAIL, ELMORE CO., WETUMPKA,  ALABAMA",36093,Alabama,Elmore,Wetumpka
1,51,2,32.583466,-85.93246,3/30/82,,"164 MCNEAL ST., TALLASSEE, AL 36078",,Alabama,Elmore,Tallassee
1,51,3,32.538364,-86.232347,3/16/17,10/31/17,"206 Queen Ann Road, Wetumpka, Alabama  36092",36092,Alabama,Elmore,Wetumpka
1,51,4,32.53568,-86.255193,3/20/18,,"3148 Elmore Road, Wetumpka, Alabama 36092",36092,Alabama,Elmore,Wetumpka
1,53,1,31.108815,-87.07094,1/1/72,12/31/79,204 SOWELL STREET,36426,Alabama,Escambia,Brewton
1,53,2,31.106567,-87.071081,11/1/79,12/30/07,BELLVILLE AVE.BREWTON,36426,Alabama,Escambia,Brewton
1,53,1000,31.0921,-87.5435,9/1/14,,Jack Springs Rd,36502,Alabama,Escambia,Not in a City
1,55,1,33.999819,-86.107475,1/1/81,,ATTALLA COMMUNITY CENTER,,Alabama,Etowah,Attalla
1,55,2,34.039066,-85.971405,1/1/72,12/31/78,FIRE DEPT GOLDENROD AVE,35901,Alabama,Etowah,Gadsden
1,55,3,34.011208,-86.057473,1/1/72,12/31/90,WALNUT PARK FIRE STATION,,Alabama,Etowah,Gadsden
1,55,4,34.007305,-86.03961,1/1/73,12/31/77,1800 CHESTNUT STREET,35904,Alabama,Etowah,Gadsden
1,55,5,33.996487,-86.047195,2/1/77,12/31/86,SOUTH 11TH ST.AND HALL STREET,,Alabama,Etowah,Gadsden
1,55,8,34.015097,-86.012194,2/1/84,,3200 WALNUT ST,,Alabama,Etowah,Gadsden
1,55,10,33.991494,-85.992647,1/1/00,,"1001 WALLACE DRIVE, GADSDEN, AL 35902",35903,Alabama,Etowah,Gadsden
1,55,11,33.904039,-86.053867,4/26/02,,"1450 PARKER ANDERSON LANE, SOUTHSIDE, AL 35907",35907,Alabama,Etowah,Southside
1,55,1001,34.015375,-86.012194,1/1/64,9/1/98,109 SOUTH 8TH STREET,,Alabama,Etowah,Gadsden
1,59,1,34.511762,-87.718088,1/1/74,12/31/98,NORTH ALABAMA HOSPITAL,,Alabama,Franklin,Russellville
1,61,1,31.118822,-86.157749,2/9/94,11/1/98,"FIRST RT W. OFF COUNTY RD 54, SAMSON, AL",36477,Alabama,Geneva,Not in a City
1,67,1,31.554308,-85.253706,1/1/74,12/31/77,HENRY CO HOSPITAL US HGWY 431,36310,Alabama,Henry,Abbeville
1,69,1,31.229088,-85.404118,1/1/72,12/31/74,406 WEST WASHINGTON ST,36303,Alabama,Houston,Dothan
1,69,2,31.228787,-85.375489,1/1/74,9/3/04,"EAST HIGHLAND ST., BOARD OF ED. BLDG.",36303,Alabama,Houston,Dothan
1,69,3,31.224783,-85.390789,1/7/05,,126 NORTH ST. ANDREWS STREET (CIVIC CENTER),36303,Alabama,Houston,Dothan
1,69,4,31.188933,-85.423094,3/14/05,,161 BUFORD LANE,36301,Alabama,Houston,Dothan
1,71,1,34.948137,-85.714415,1/1/73,12/31/97,4.8 MI NNE OF WIDOWS CREEK POWER PLANT,,Alabama,Jackson,Bridgeport
1,71,2,34.934525,-85.720804,1/1/79,12/31/89,3.9 MI N OF WCSP- BRG,,Alabama,Jackson,Bridgeport
1,71,3,34.828137,-85.682192,1/1/72,12/31/97,5.6 MI SE OF WIDOWS CREEK POWER PLANT,,Alabama,Jackson,Not in a city
1,71,4,34.856748,-85.73525,1/1/72,12/31/97,2.2 MI SSE OF WIDOWS CREEK POWER PLANT,,Alabama,Jackson,Not in a city
1,71,5,34.874248,-85.717749,1/1/72,12/31/97,2.4 MI ESE OF WIDOWS CREEK POWER PLANT,,Alabama,Jackson,Not in a city
1,71,6,34.912302,-85.664136,1/1/72,12/31/97,5.5 MI ENE OF WIDOWS CREEK POWER PLANT,,Alabama,Jackson,Not in a city
1,71,7,34.843451,-85.707734,1/1/73,12/31/77,3.75 MI SSE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,8,34.842896,-85.716624,1/1/73,12/31/77,3.48 MI SE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,9,34.840674,-85.755791,1/1/73,12/31/77,3.05 MI S OF WIDOWS CREEK POWER PLANT,35772,Alabama,Jackson,Not in a City
1,71,10,34.851507,-85.729679,1/1/73,12/31/77,2.58 MI SSE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,11,34.825951,-85.736901,1/1/73,12/31/77,4.11 MI SSE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,12,34.891474,-86.093316,1/1/73,12/31/97,HITOP,,Alabama,Jackson,Not in a city
1,71,13,34.930116,-85.666899,1/1/73,12/31/77,5.68 MI NE OF WIDOWS CREEK POWER PLANT,35958,Alabama,Jackson,Not in a City
1,71,14,34.858729,-85.722457,1/1/73,12/31/77,2.5 MI SE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,15,34.828174,-85.682178,1/1/73,12/31/77,5.6 MI SE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,16,34.866229,-85.734401,1/1/73,12/31/77,1.7 MI SE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,17,34.876506,-85.705789,1/1/73,12/31/77,2.63 MI ESE OF WIDOWS CREEK POWER PLANT,35966,Alabama,Jackson,Not in a City
1,71,18,34.866749,-85.783307,1/1/73,12/31/97,AIRPORT BUILDING (STEVENSON),,Alabama,Jackson,Not in a city
1,71,19,34.855637,-85.747473,1/1/72,12/31/97,2.0 MILES SSE OF WIDOWS CREEK STEAM PLAN,,Alabama,Jackson,Not in a city
1,71,20,34.877025,-85.720805,1/1/72,,TVA WIDOWS CRK 11 2.0 MI ESE WIDOWS CRK,,Alabama,Jackson,Not in a city
1,71,21,34.867859,-85.721361,1/1/72,12/31/97,TVA WDCK 9       2.3 MI ESE OF WDCK FP,,Alabama,Jackson,Not in a city
1,71,22,34.856748,-85.735528,1/1/97,,2.14 MI. SSE OF WIDOWS CREEK STEAM PLANT,,Alabama,Jackson,Not in a city
1,71,23,34.852304,-85.748584,1/1/74,12/31/97,ROUTE 2 BOX 332A (FLAT ROCK),,Alabama,Jackson,Not in a city
1,71,24,34.915637,-85.734972,1/1/74,12/31/97,2.3 MI NNE OF WIDOWS CREEK STEAM PLANT,,Alabama,Jackson,Not in a city
1,71,25,34.874525,-85.741639,1/1/75,12/31/97,1 MI SE OF WIDOWS CREEK STEAM PLANT,,Alabama,Jackson,Not in a city
1,71,26,34.938969,-85.66108,12/27/74,12/31/97,TVA WIDOWS CRK_146.6 MI SE WIDOWS CRK FP,,Alabama,Jackson,Not in a city
1,71,27,34.959804,-85.775529,1/1/76,12/31/97,5.4 MI NNW OF WIDOWS CREEK STEAM PLANT,,Alabama,Jackson,Not in a city
1,71,28,34.891474,-86.093316,1/1/76,12/31/81,18.9 MI W OF WIDOWS CREEK STEAM PLANT,,Alabama,Jackson,Not in a city
1,71,29,34.842582,-85.820531,1/1/76,12/31/97,4.6 MI SW OF WIDOWS CREEK STEAM PLANT,,Alabama,Jackson,Not in a city
1,71,30,34.82536,-85.767751,1/1/76,12/31/97,4.1 MI S OF WIDOWS CREEK STEAM PLANT,,Alabama,Jackson,Not in a city
1,71,31,34.944804,-85.851087,1/1/76,12/31/97,TVA 6.9 MI NW OF WIDOWS CREEK STEAM PLAN,,Alabama,Jackson,Not in a city
1,71,32,34.718694,-85.91581,1/1/76,12/31/97,.93 MILE N E OF BELLEFONTE NUCLEAR PLANT,,Alabama,Jackson,Not in a city
1,71,33,34.859562,-85.723013,1/1/76,12/31/78,2.4 MILES S E OF WIDOWS CREEK STEAM PLAN,35966,Alabama,Jackson,Not in a City
1,71,34,34.874284,-85.763014,1/1/76,12/31/78,0.75 MILE S SW OF WIDOWS CREEK STEAM PLT,35772,Alabama,Jackson,Not in a City
1,71,35,34.918414,-85.733861,1/1/76,12/31/97,2.65 MI NNE OF WIDOWS CREEK,,Alabama,Jackson,Not in a city
1,71,36,34.872581,-85.743028,1/1/76,12/31/97,1.01 MI SE OF WIDOWS CREEK,,Alabama,Jackson,Not in a city
1,71,37,34.818971,-85.77164,1/1/76,12/31/97,TVA WIDOWS CRK 25   4.52 MI SSW WDCK,,Alabama,Jackson,Not in a city
1,71,38,34.845082,-85.749695,1/1/78,12/31/97,TVA WIDOWS CRK 270.8 MI NW WID CRK FP,,Alabama,Jackson,Not in a city
1,71,39,34.874249,-85.763029,1/1/82,,TVA WIDOWS CRK 26   .83 MI SW WDCK,,Alabama,Jackson,Not in a city
1,71,40,34.874284,-85.763014,3/1/75,12/31/75,STEVENSON AL 35772,35772,Alabama,Jackson,Not in a City
1,71,1001,34.92897,-85.71886,1/1/67,7/1/97,3.5 MI NNE OF WIDOWS CREEK POWER PLANT,,Alabama,Jackson,Not in a city
1,71,1002,34.858692,-85.722472,1/1/67,7/1/97,2.5 MI SE OF WIDOWS CREEK POWER PLANT,,Alabama,Jackson,Not in a city
1,71,1003,34.668556,-86.034607,1/1/72,12/31/78,COUNTY HEALTH DEPT 609 S BROAD,35768,Alabama,Jackson,Scottsboro
1,71,1004,34.649125,-85.98598,1/1/72,12/31/74,CITY WATER WORKS,35769,Alabama,Jackson,Scottsboro
1,71,2001,34.673343,-86.052845,1/1/72,12/31/74,WCRI US 72 & BREWER ST,35768,Alabama,Jackson,Scottsboro
1,71,2002,34.677028,-86.014146,1/1/72,12/31/97,"DAYS INN, E. WILLOW STREET.",,Alabama,Jackson,Scottsboro
1,73,1,33.400666,-86.952771,1/1/70,2/2/88,1800 FIRST AVENUE,,Alabama,Jefferson,Bessemer
1,73,2,33.3975,-86.955278,1/16/80,,"1500 1ST AVE N., BESSEMER, AL",35020,Alabama,Jefferson,Bessemer
1,73,3,33.504827,-86.799434,1/1/68,12/31/82,720 SOUTH 20TH STREET,,Alabama,Jefferson,Birmingham
1,73,4,0,0,1/1/65,3/5/81,1334 STEINER AVE SW,,Alabama,Jefferson,Birmingham
1,73,5,33.54566,-86.549151,1/1/65,6/26/88,"LEEDS ELEMENTARY SCHOOL, ASHVILLE RD.",,Alabama,Jefferson,Leeds
1,73,6,0,0,1/1/65,1/1/77,920 20TH ST N,,Alabama,Jefferson,Birmingham
1,73,7,0,0,1/1/65,1/1/72,53RD ST & GEORGIA RD,,Alabama,Jefferson,Birmingham
1,73,8,33.539548,-86.533317,10/1/85,,"NEW JER., HAYES INT'L, 1370 BORDEN AVENU",,Alabama,Jefferson,Leeds
1,73,9,33.487328,-86.811934,1/1/70,3/1/93,14TH STREET & 1ST AVENUE NORTH,,Alabama,Jefferson,Birmingham
1,73,10,33.537605,-86.759433,1/1/70,12/31/88,"WOODLAWN, 2ND AVENUE AND 52ND STREET NO.",,Alabama,Jefferson,Birmingham
1,73,11,33.490939,-86.853324,1/1/70,3/1/81,"WEST END, STEINER AVE, 1334 STEINER AVE.",,Alabama,Jefferson,Birmingham
1,73,12,33.520661,-86.801934,1/1/72,12/31/87,"DOWNTOWN, POST OFFICE, 415 24TH STREET N",,Alabama,Jefferson,Birmingham
1,73,13,33.564314,-86.777767,1/1/70,9/30/76,INGLENOOK & MAURY,35217,Alabama,Jefferson,Birmingham
1,73,14,33.54598,-86.766656,1/1/70,12/31/72,43RD ST & 13TH AVENUE N,35212,Alabama,Jefferson,Birmingham
1,73,15,33.525148,-86.794434,1/1/69,1/1/72,31ST & 3RD AVENUE N.,35203,Alabama,Jefferson,Birmingham
1,73,16,33.587646,-86.67943,1/1/69,1/1/72,05 MI EAST OF HOB HILL ROAD ON HIGHWAY 1,35235,Alabama,Jefferson,Birmingham
1,73,17,33.533481,-86.794434,1/1/69,9/30/76,28TH ST & 15TH AVENUE N,35234,Alabama,Jefferson,Birmingham
1,73,18,33.580703,-86.733321,1/1/72,12/31/75,8800 12TH AVENUE N ZION CITY,35206,Alabama,Jefferson,Birmingham
1,73,19,33.529592,-86.849158,1/1/72,12/31/77,801 FINLEY AVE BY-PASS,35204,Alabama,Jefferson,Birmingham
1,73,20,33.516815,-86.908604,1/1/76,12/31/77,2000 PLEASANT HILL ROAD BIRMINGHAM ALA,35224,Alabama,Jefferson,Birmingham
1,73,21,33.511773,-86.893603,1/1/76,12/31/83,"ENSLEY, 19TH STREET, 722 19TH ST., ENSLE",,Alabama,Jefferson,Birmingham
1,73,22,33.533716,-86.850824,1/1/77,12/31/83,"EAST THOMAS, WERC, 2400 ARKADELPHIA ROAD",,Alabama,Jefferson,Birmingham
1,73,23,33.553056,-86.815,3/12/79,,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",35207,Alabama,Jefferson,Birmingham
1,73,24,33.514827,-86.808601,1/1/80,12/31/80,"DOWNTOWN, LOVEMAN'S, 1818 SECOND AVE. NO",,Alabama,Jefferson,Birmingham
1,73,25,33.545661,-86.782768,1/1/81,3/31/94,"EAST B'HAM, INTERSTATE, 1333 CAHABA ST.",,Alabama,Jefferson,Birmingham
1,73,26,33.565104,-86.77999,1/1/79,3/3/97,"INGLENOOK, ELEM. SCH., 3937 44TH AVE. NO",,Alabama,Jefferson,Birmingham
1,73,27,33.498439,-86.810546,1/1/80,12/31/82,"UAB, JORDAN PK., 809 11TH STREET SOUTH",,Alabama,Jefferson,Birmingham
1,73,28,33.529444,-86.850278,1/1/81,,"EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.",35204,Alabama,Jefferson,Birmingham
1,73,29,33.513995,-86.85138,1/1/81,7/29/91,EAST THOMAS BSC 800 EIGHTH AVE WEST,,Alabama,Jefferson,Birmingham
1,73,30,33.518995,-86.889159,1/1/81,8/20/88,"1115 AVENUE F, (ENSLEY), BIRMINGHAM",,Alabama,Jefferson,Birmingham
1,73,31,33.503717,-86.808046,1/1/82,,"UAB, GUY TATE BLDG., 1400 6TH AVE. SOUTH",,Alabama,Jefferson,Birmingham
1,73,32,33.503717,-86.81249,10/15/82,4/1/97,"UAB, LANE TCH. CTR., 409 12TH ST. SOUTH",,Alabama,Jefferson,Birmingham
1,73,33,33.515105,-86.805546,4/2/86,6/17/96, 2014 FIRST AVE NORTH,,Alabama,Jefferson,Birmingham
1,73,34,33.5275,-86.807778,1/1/84,,"2301 11TH AVE NORTH, BIRMINGHAM, AL.",35203,Alabama,Jefferson,Birmingham
1,73,95,0,0,1/1/65,12/31/68,1ST AVE & 18TH ST,,Alabama,Jefferson,Bessemer
1,73,101,,,1/1/77,12/31/78,JEFFERSON COUNTY HEALTH DEPT. BIRMINGHAM,,Alabama,Jefferson,Birmingham
1,73,1001,0,0,1/1/57,12/31/66,UNIV MED & DENTAL BLDG 619 SO 19TH ST,,Alabama,Jefferson,Birmingham
1,73,1002,0,0,1/1/65,1/1/72,15TH ST & 7TH AVE SOUTH,,Alabama,Jefferson,Birmingham
1,73,1003,33.485556,-86.915,3/11/72,,"FAIRFIELD, PFD, 5229 COURT B",35064,Alabama,Jefferson,Fairfield
1,73,1004,33.455706,-86.919437,1/1/70,1/1/75,WOODWARD & 11TH ST,35228,Alabama,Jefferson,Midfield
1,73,1005,33.331111,-87.003611,6/17/87,, ROUTE 8 MCADORY,35111,Alabama,Jefferson,Not in a City
1,73,1006,33.535937,-86.534984,11/3/85,,"NEW JER., CALDWELL FDY., 177 DUNNAVANT R",,Alabama,Jefferson,Leeds
1,73,1007,33.539167,-86.534444,10/1/85,,"176 DUNNAVANT RD, LEEDS",35094,Alabama,Jefferson,Leeds
1,73,1008,33.451389,-86.967222,7/1/95,,3822 WILLIAMSON DRIVE,35023,Alabama,Jefferson,Bessemer
1,73,1009,33.459722,-87.305556,1/1/00,,1801 BRUCE SHAW ROAD,35006,Alabama,Jefferson,Not in a City
1,73,1010,33.545278,-86.549167,1/1/87,, 201 ASHVILLE ROAD,35094,Alabama,Jefferson,Leeds
1,73,1092,0,0,1/1/65,1/1/72,93 EUCLID AVE,,Alabama,Jefferson,Mountain Brook
1,73,1093,0,0,1/1/67,3/11/83,3016 OVERTON RD,,Alabama,Jefferson,Mountain Brook
1,73,2001,33.605702,-86.688875,1/1/72,12/31/79,940 HUFFMAN RD,35215,Alabama,Jefferson,Birmingham
1,73,2002,33.602325,-86.690545,1/1/75,12/31/81,942 HUFFMAN ROAD,,Alabama,Jefferson,Center Point
1,73,2003,33.499722,-86.924167,1/1/81,,1242 JERSEY ST WYLAM AL,35224,Alabama,Jefferson,Birmingham
1,73,2004,33.534826,-86.533873,1/1/81,3/31/93,"NEW JERUSALEM, ILCO, ROUTE 2, BOX 573",,Alabama,Jefferson,Leeds
1,73,2005,33.530937,-86.541373,12/7/82,,"NEW JERUSALEM, HOL CHURCH, RT. 2, BOX 54",,Alabama,Jefferson,Leeds
1,73,2006,33.386389,-86.816667,9/1/88,,"3425 TAMASSEE LANE, HOOVER, AL 35226",35226,Alabama,Jefferson,Hoover
1,73,2059,33.521427,-86.844112,1/1/14,,"1110 5th Street West Birmingham, AL 35204",35204,Alabama,Jefferson,Birmingham
1,73,3001,0,0,1/1/65,1/1/72,AVE D AT 64TH ST,,Alabama,Jefferson,Fairfield
1,73,3002,33.443165,-86.993327,1/1/78,12/31/83,1318 HUEYTOWN ROAD HUEYTOWN ALA,,Alabama,Jefferson,Hueytown
